,station_id,status,target,mp,mr,mt
83,461,full,y_60m,0.3251231527093596,0.9565217391304348,0.11573905867733643
84,470,empty,y_30m,err,err,err
85,470,full,y_30m,err,err,err
86,470,empty,y_60m,0.3684210526315789,0.9607843137254902,0.03211187522654069
87,470,full,y_60m,0.45229681978798586,0.9552238805970149,0.21462099127048564
88,472,empty,y_30m,err,err,err
89,472,full,y_30m,err,err,err
90,472,empty,y_60m,0.4810126582278481,0.95,0.28427935561175777
91,472,full,y_60m,0.41081081081081083,0.95,0.11250404499932207
92,482,empty,y_30m,err,err,err
93,482,full,y_30m,err,err,err
94,482,empty,y_60m,0.3217391304347826,0.9736842105263158,0.06581784095633611
95,482,full,y_60m,0.375366568914956,0.9696969696969697,0.1460901153738046
96,483,empty,y_30m,err,err,err
97,483,full,y_30m,err,err,err
98,483,empty,y_60m,0.5333333333333333,1.0,0.13973788774376855
99,483,full,y_60m,0.3542168674698795,0.9607843137254902,0.19897972541945455
100,491,empty,y_30m,err,err,err
101,491,full,y_30m,err,err,err
102,491,empty,y_60m,0.855072463768116,0.9516129032258065,0.21366102648943702
103,491,full,y_60m,0.648854961832061,0.96045197740113,0.3624123309545898
